fname,credits,alt
anya_tulip.jpg,"Modeling by Anya Demure, rope and photo by Marceline VQ",Woman suspended to form the shape of a tulip.
anya_expansion.jpg,"Modeling by Anya Demure, rope and photo by Marceline VQ",Figure in chiffon cloth with head tied in ropes.
jaina_web.jpg,"Photo by Jaina Cipriano, Self-tied",Woman in a red leotard lying next to a cube with webbing.
dakota_arms.jpg,Modeling by Dakota Snow,Woman sitting on a chair with arms tied.
anya_jen_andreas.jpg,"Modeling by Anya Demure and Sugarcurl, Rope ",Two women suspended and tangled with each other.
anya_jesus.jpg,Modeling by Anya Demure,Woman suspended in crucifixion pose with rope webbing.
joanneleah_slime.jpg,"Photo by Joanne Leah, Modeling by Anya Demure",Woman suspended with multicolored slime dripping.
cat_hand.jpg,Modeling by Militiajoanhurt,Hand tied so that thumb meets wrist.
dakota_red.jpg,Modeling by Dakota Snow,Woman lying on a white floor wearing red rope.
anya_sepia.jpg,Modeling by Anya Demure,Woman tied sitting on couch in sepia lighting.
tarachin_blindedgaze.jpg,"Photo by Tarachin, self-tied",Woman blindfolded suspended with gray background.
self_limbs.jpg,Self-tied and self-shot,Wrist and ankle tied together against a blank background.
anya_beach.jpg,"Modeling by Anya Demure, rope and photo by Marceline VQ",Woman with arms tied holding stones at the beach.
